date,consumer_exit_flow_kwh,interconnection_exit_flow_kwh,storage_exit_flow_kwh,total_exit_flow_kwh,storage_twh,agsi_consumption_gwh,injection_gwh,withdrawal_gwh,storage_pct_full,temperature_2m_mean,temperature_2m_min,temperature_2m_max,hdd,demand_gwh,total_system_offtake_gwh,storage_exit_gwh,interconnection_exit_gwh,stl_trend,stl_seasonal,stl_resid
2025-06-24,353157227.59000003,1158590833.554,1091897116.036,2603645177.1800003,120.7569,903.9,779.34,6.5,48.82,20.297918,17.35,24.3,0.0,353.15722759000005,2603.6451771800002,1091.897116036,1158.5908335539998,463.7810312388262,-53.56147641702849,-57.06232723179767
2025-06-25,406607837.1,1204705703.28,726397748.612,2337711288.992,121.1504,903.9,480.87,114.5,48.98,21.383333,14.45,30.5,0.0,406.60783710000004,2337.711288992,726.397748612,1204.70570328,463.8710709492523,-52.46988920881138,-4.793344640440921
2025-06-26,343809870.90999997,1276519936.517,781747109.171,2402076916.598,121.288,903.9,589.92,119.5,49.04,18.941666,16.65,21.95,0.0,343.80987091,2402.076916598,781.747109171,1276.519936517,463.96153047884724,-71.77667742738471,-48.37498214146257
2025-06-27,346490195.32,1237540995.583,1069065391.523,2653096582.4259996,122.3229,903.9,803.64,111.4,49.46,21.3,14.2,28.05,0.0,346.49019532,2653.0965824259997,1069.065391523,1237.540995583,464.05240832618045,-96.58539663802712,-20.976816368153322
2025-06-28,304757834.51,1143285893.24,1485383382.32,2933427110.0699997,123.3441,903.9,1080.61,47.8,49.87,23.641668,19.5,28.3,0.0,304.75783451,2933.42711007,1485.38338232,1143.28589324,464.14370269694314,-126.99434091200939,-32.391527274933765
2025-06-29,322650657.06,1082309819.06,1576716142.121,2981676618.241,124.5088,903.9,1211.9,53.2,50.34,20.539583,13.5,26.6,0.0,322.65065706,2981.676618241,1576.716142121,1082.3098190599999,464.2354116901306,-88.42888974705713,-53.15586488307349
2025-06-30,437664926.05,1273382570.86,1152901911.182,2863949408.092,125.3109,903.9,837.04,34.3,50.66,24.38333,14.65,32.8,0.0,437.66492605,2863.949408092,1152.9019111819998,1273.38257086,464.3275336781757,-42.78360144751123,16.120993819335524
2025-07-01,473235772.04,1379587325.23,792928245.307,2645751342.577,125.9974,903.9,712.57,24.4,50.94,29.664581,19.8,37.6,0.0,473.23577204000003,2645.7513425770003,792.928245307,1379.58732523,464.4200670551356,-23.32527616515716,32.14098115002162
2025-07-02,425568063.31,1291689718.76,948486271.474,2665744053.5439997,126.8856,903.9,916.24,2.0,51.3,23.375,19.25,30.4,0.0,425.56806331,2665.7440535439996,948.486271474,1291.68971876,464.5130100649137,-84.78852885905287,45.84358210413916
2025-07-03,432456111.28,1378828803.31,958730688.441,2770015603.031,127.5356,903.9,719.22,69.5,51.56,19.639584,13.35,24.9,0.0,432.45611127999996,2770.015603031,958.730688441,1378.82880331,464.60636107462125,-82.10617141719054,49.95592162256929
2025-07-04,368038758.32,1431019236.28,893025853.824,2692083848.424,128.2912,903.9,771.28,12.1,51.87,22.481249,14.95,28.65,0.0,368.03875832,2692.083848424,893.025853824,1431.0192362799999,464.70011852840236,-134.36414466153727,37.70278445313494
2025-07-05,294844082.51,1388875232.71,1300382944.917,2984102260.137,129.3591,903.9,1086.32,13.6,52.3,23.552084,17.95,29.35,0.0,294.84408250999996,2984.102260137,1300.382944917,1388.87523271,464.7942803000241,-160.7270453885054,-9.223152401518803
2025-07-06,335086423.34000003,1240630028.27,1265152571.514,2840869023.124,130.3086,903.9,983.31,39.9,52.68,20.327084,16.35,24.65,0.0,335.08642334,2840.8690231240003,1265.1525715139999,1240.63002827,464.88884390733074,-138.78368704966257,8.981266482331876
2025-07-07,372960541.76,1288710974.2,1025462156.07,2687133672.03,130.9218,903.9,714.4,17.6,52.93,17.797918,14.35,21.45,0.20208168,372.96054176,2687.13367203,1025.46215607,1288.7109742,464.98380704073014,-123.08982112840121,31.066555847671054
2025-07-08,353107063.11,1460262473.48,1068082398.336,2881451934.926,135.4935,903.9,816.19,0.0,54.78,17.4125,14.7,21.4,0.5874996,353.10706311,2881.451934926,1068.0823983359999,1460.26247348,465.0791675404821,-83.13652618016123,-28.83557825032085
2025-07-09,386327830.19,1436796107.28,1175917552.142,2999041489.612,132.4268,903.9,1108.38,9.0,53.54,17.743752,15.15,22.1,0.25624847,386.32783019,2999.041489612,1175.917552142,1436.79610728,465.1749232450171,-85.18616643660563,6.339073381588491
2025-07-10,383386553.54,1412671160.95,1083654933.197,2879712647.6870003,133.5212,903.9,1071.95,40.7,54.02,17.066666,13.25,21.85,0.93333435,383.38655354,2879.7126476870003,1083.654933197,1412.67116095,465.2710720907669,-73.81122611716738,-8.073292433599477
2025-07-11,336413688.81,1275709383.81,1201638838.358,2813761910.9779997,134.4262,903.9,994.57,11.4,54.37,15.710418,14.4,17.45,2.2895823,336.41368881,2813.761910978,1201.638838358,1275.70938381,465.36761241191897,-120.78297930697752,-8.170944294941421
2025-07-12,314996480.37,1210121810.57,1481793621.046,3006911911.986,135.8089,903.9,1139.31,16.8,54.93,17.89375,14.9,21.55,0.10625076,314.99648037000003,3006.911911986,1481.793621046,1210.12181057,465.46454282195936,-137.54104298866227,-12.927019463297086
2025-07-13,323734785.5,1308601277.28,1450293602.37,3082629665.1499996,136.8975,903.9,1090.85,3.0,55.37,19.560415,15.15,24.1,0.0,323.7347855,3082.6296651499997,1450.29360237,1308.60127728,465.5618618722381,-125.02706675944158,-16.800009612796543
2025-07-14,344228919.19,1321849121.63,945375716.024,2611453756.8440003,137.4921,903.9,718.25,120.7,55.61,18.883333,16.7,22.05,0.0,344.22891919,2611.4537568440005,945.3757160240001,1321.8491216300001,465.6595683944494,-119.27703258889657,-2.153616615552835
2025-07-15,344403493.8,1295110886.1599998,755974279.365,2395488659.325,138.0543,903.9,615.0,52.8,55.84,17.283335,13.35,20.55,0.71666527,344.40349380000004,2395.488659325,755.974279365,1295.1108861599998,465.7576617055982,-95.910837083757,-25.44333082184113
2025-07-16,366227570.97,1282465512.9,803539337.97,2452232421.84,138.6904,903.9,671.66,35.5,56.1,16.656248,13.75,19.15,1.3437519,366.22757097000004,2452.2324218400004,803.53933797,1282.4655129,465.85614151359886,-72.92761145352267,-26.70095909007614
2025-07-17,398578083.37,1280021060.51,623854138.969,2302453282.849,139.1755,903.9,518.75,33.7,56.29,19.368748,16.25,22.9,0.0,398.57808337,2302.453282849,623.854138969,1280.02106051,465.95500789259387,-76.00936313613957,8.63243861354573
2025-07-18,411511766.32,1252196942.31,866118285.1800001,2529826993.81,139.8247,903.9,661.75,12.6,56.55,21.360418,15.75,26.05,0.0,411.51176632,2529.8269938099997,866.11828518,1252.19694231,466.0542613740908,-97.37400394512724,42.831508891036435
2025-07-19,305108896.03999996,1166265122.51,1309953143.85,2781327162.3999996,140.9293,903.9,1130.89,26.4,57.0,23.433334,17.45,28.85,0.0,305.10889603999993,2781.3271623999995,1309.9531438499998,1166.26512251,466.15390238823295,-148.69159542100576,-12.353410927227287
2025-07-20,312048899.01,1107450224.69,1271410058.1,2690909181.8,142.0248,903.9,1112.68,17.8,57.44,20.0375,16.05,22.6,0.0,312.04889901,2690.9091818,1271.4100581,1107.4502246900001,466.2539310109072,-137.82299972824725,-16.3820322726599
2025-07-21,359777916.06,1245832239.75,851089752.618,2456699908.428,142.6596,903.9,675.29,39.2,57.7,18.008333,14.4,21.5,0.0,359.77791606,2456.699908428,851.089752618,1245.83223975,466.35434695838006,-124.33032883880959,17.75389794042951
2025-07-22,315499757.91999996,1334936624.01,886051968.41,2536488350.3399997,143.2904,903.9,671.59,41.6,57.95,17.629168,15.6,19.7,0.37083244,315.49975792,2536.4883503399997,886.05196841,1334.93662401,466.45515005636804,-123.26771541041606,-27.68767672595203
2025-07-23,363424415.69,1325525769.1,833324169.086,2522274353.876,143.9156,903.9,651.44,22.4,58.2,19.456251,16.2,22.4,0.0,363.42441569,2522.274353876,833.324169086,1325.5257691,466.5563403850624,-97.17371884903682,-5.958205846025635
2025-07-24,447563703.88,1254068310.6,582508339.289,2284140353.769,144.3055,903.9,503.68,114.8,58.36,19.858332,17.9,23.55,0.0,447.56370388,2284.140353769,582.508339289,1254.0683106,466.6579183579192,-77.26635358573925,58.1721391078201
2025-07-25,408868054.99,1237101213.56,660184778.93,2306154047.48,144.9117,903.9,639.51,38.7,58.6,18.835417,17.2,20.8,0.0,408.86805499,2306.15404748,660.18477893,1237.10121356,466.7598846070389,-58.35030845061196,0.4584788335731105
2025-07-26,354422857.65,1024553491.47,1085742033.245,2464718382.365,145.899,903.9,996.06,8.8,59.0,19.664583,15.2,23.75,0.0,354.42285764999997,2464.718382365,1085.742033245,1024.55349147,466.8622394017749,-86.22558068017163,-26.213801071603314
